population,Data Zone
798,S01000669
680,S01000670
603,S01000671
820,S01000672
716,S01000673
"1,070",S01000674
676,S01000675
490,S01000676
819,S01000677
850,S01000678
734,S01000679
997,S01000680
985,S01000681
750,S01000682
557,S01000683
726,S01000684
915,S01000685
746,S01000686
801,S01000687
711,S01000688
591,S01000689
"1,025",S01000690
779,S01000691
735,S01000692
"1,066",S01000693
688,S01000694
816,S01000695
769,S01000696
"1,130",S01000697
630,S01000698
620,S01000699
842,S01000700
"1,005",S01000701
501,S01000702
695,S01000703
861,S01000704
"1,128",S01000705
852,S01000706
646,S01000707
591,S01000708
997,S01000709
"1,168",S01000710
496,S01000711
627,S01000712
749,S01000713
986,S01000714
596,S01000715
559,S01000716
882,S01000717
737,S01000718
680,S01000719
739,S01000720
716,S01000721
791,S01000722
474,S01000723
742,S01000724
595,S01000725
734,S01000726
572,S01000727
639,S01000728
486,S01000729
381,S01000730
573,S01000731
535,S01000732
680,S01000733
881,S01000734
448,S01000735
734,S01000736
481,S01000737
435,S01000738
673,S01000739
608,S01000740
826,S01000741
618,S01000742
796,S01000743
676,S01000744
722,S01000745
783,S01000746
547,S01000747
428,S01000748
535,S01000749
676,S01000750
711,S01000751
933,S01000752
553,S01000753
734,S01000754
696,S01000755
"1,043",S01000756
831,S01000757
"1,327",S01000758
981,S01000759
544,S01000760
599,S01000761
611,S01000762
779,S01000763
641,S01000764
773,S01000765
661,S01000766
606,S01000767
749,S01000768
792,S01000769
680,S01000770
905,S01000771
640,S01000772
806,S01000773
762,S01000774
824,S01000775
550,S01000776
354,S01000777
463,S01000778
646,S01000779
814,S01000780
771,S01000781
671,S01000782
424,S01000783
761,S01000784
687,S01000785
753,S01000786
509,S01000787
652,S01000788
674,S01000789
543,S01000790
602,S01000791
675,S01000792
792,S01000793
788,S01000794
876,S01000795
516,S01000796
562,S01000797
514,S01000798
"2,407",S01000799
953,S01000800
678,S01000801
715,S01000802
977,S01000803
910,S01000804
764,S01000805
787,S01000806
798,S01000807
829,S01000808
610,S01000809
867,S01000810
773,S01000811
"1,366",S01000812
775,S01000813
772,S01000814
515,S01000815
545,S01000816
869,S01000817
922,S01000818
857,S01000819
544,S01000820
904,S01000821
529,S01000822
489,S01000823
762,S01000824
758,S01000825
615,S01000826
734,S01000827
992,S01000828
673,S01000829
845,S01000830
839,S01000831
"1,063",S01000832
"1,364",S01000833
983,S01000834
743,S01000835
746,S01000836
927,S01000837
615,S01000838
"1,292",S01000839
667,S01000840
988,S01000841
856,S01000842
945,S01000843
744,S01000844
535,S01000845
663,S01000846
998,S01000847
684,S01000848
510,S01000849
685,S01000850
602,S01000851
712,S01000852
514,S01000853
925,S01000854
730,S01000855
531,S01000856
583,S01000857
921,S01000858
"1,132",S01000859
939,S01000860
628,S01000861
544,S01000862
542,S01000863
"1,184",S01000864
"1,055",S01000865
827,S01000866
877,S01000867
692,S01000868
580,S01000869
890,S01000870
850,S01000871
714,S01000872
"2,919",S01000873
447,S01000874
"1,453",S01000875
667,S01000876
646,S01000877
518,S01000878
950,S01000879
793,S01000880
617,S01000881
837,S01000882
843,S01000883
628,S01000884
480,S01000885
640,S01000886
678,S01000887
655,S01000888
706,S01000889
749,S01000890
923,S01000891
524,S01000892
632,S01000893
545,S01000894
"1,020",S01000895
493,S01000896
675,S01000897
520,S01000898
758,S01000899
617,S01000900
570,S01000901
960,S01000902
"1,008",S01000903
681,S01000904
708,S01000905
531,S01000906
797,S01000907
723,S01000908
913,S01000909
858,S01000910
"1,035",S01000911
660,S01000912
593,S01000913
673,S01000914
909,S01000915
"1,004",S01000916
643,S01000917
526,S01000918
611,S01000919
570,S01000920
644,S01000921
"1,016",S01000922
909,S01000923
783,S01000924
994,S01000925
926,S01000926
897,S01000927
970,S01000928
470,S01000929
606,S01000930
636,S01000931
967,S01000932
972,S01000933
917,S01000934
821,S01000935
884,S01000936
568,S01000937
793,S01000938
730,S01000939
904,S01000940
438,S01000941
"1,042",S01000942
795,S01000943
777,S01000944
741,S01000945
726,S01000946
650,S01000947
839,S01000948
619,S01000949
828,S01000950
715,S01000951
793,S01000952
861,S01000953
"1,102",S01000954
635,S01000955
849,S01000956
508,S01000957
760,S01000958
695,S01000959
549,S01000960
844,S01000961
638,S01000962
795,S01000963
"1,082",S01000964
608,S01000965
"1,082",S01000966
551,S01000967
"1,051",S01000968
907,S01000969
758,S01000970
756,S01000971
917,S01000972
661,S01000973
"1,168",S01000974
647,S01000975
482,S01000976
947,S01000977
